model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,JJA,G6sulfur - SSP5-8.5,-0.3062991,-0.1883589,0.7845398,0.1432367,-0.3904189,-1.7950052,1.1156122,30,0.3000000,0.7000000,0.0000000,0.1151346,-0.5435446,-0.1085306,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,MAM,G6solar - G6sulfur,-0.0600854,0.0529716,0.8909807,0.1626701,-0.0674374,-2.5114517,1.4994415,30,0.5000000,0.5000000,0.0000000,-0.1357390,-0.2321014,0.1051134,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,MAM,G6solar - SSP5-8.5,0.0085857,-0.1769234,0.9255615,0.1689836,0.0092763,-2.8072308,1.5653281,30,0.4666667,0.5333333,0.0000000,0.0720868,-0.2783886,0.3271067,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,MAM,G6sulfur - SSP5-8.5,0.0686712,0.2763378,1.2766945,0.2330915,0.0537882,-2.6102669,2.8865882,30,0.6333333,0.3666667,0.0000000,0.0387998,-0.2459332,0.4025628,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,SON,G6solar - G6sulfur,-0.0149008,0.1724944,0.8465587,0.1545598,-0.0176016,-2.1154432,1.6253479,30,0.6000000,0.4000000,0.0000000,-0.2103390,-0.2277356,0.1937184,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,SON,G6solar - SSP5-8.5,-0.0630910,-0.0246924,0.9035593,0.1649666,-0.0698249,-2.1835435,1.8659432,30,0.4666667,0.5333333,0.0000000,-0.1470312,-0.3763410,0.2686728,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,pr_mean,mm/day,SON,G6sulfur - SSP5-8.5,-0.0481902,-0.2684958,0.8732115,0.1594259,-0.0551873,-1.5140234,1.5330651,30,0.4333333,0.5666667,0.0000000,-0.0782702,-0.3595964,0.2423990,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,tasmax_mean,degC,ANN,G6solar - G6sulfur,-0.0333383,-0.0129844,0.8216684,0.1500154,-0.0405739,-1.8882361,1.1622986,30,0.5000000,0.5000000,0.0000000,-0.0437969,-0.3030981,0.2592143,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,tasmax_mean,degC,ANN,G6solar - SSP5-8.5,-1.6408402,-1.5177618,1.0209931,0.1864070,-1.6071022,-3.8760222,-0.0190053,30,0.0000000,1.0000000,0.0000000,0.4006955,-2.2265487,-1.1475307,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,tasmax_mean,degC,ANN,G6sulfur - SSP5-8.5,-1.6075020,-1.5096285,0.9681696,0.1767628,-1.6603516,-3.5496125,0.1892829,30,0.0333333,0.9666667,0.0000000,0.1604536,-2.0413369,-1.2140247,below_zero,False,10000,5
