domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
lower_mississippi,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.1224891,-1.5877040,1.2756093,-2.0734432,0.7588947,4,1,3,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,JJA,pr_mean,G6solar - G6sulfur,mm/day,0.1574437,0.1714657,0.3128501,-0.2233248,0.5101681,4,3,1,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,JJA,pr_mean,G6solar - SSP5-8.5,mm/day,0.0963142,0.1330185,0.2469898,-0.2374334,0.3566533,4,3,1,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,JJA,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0611295,-0.0534078,0.3758823,-0.5180622,0.3803599,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,JJA,tasmax_mean,G6solar - G6sulfur,degC,-0.4256897,-0.4091632,0.0636903,-0.5162128,-0.3682196,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,JJA,tasmax_mean,G6solar - SSP5-8.5,degC,-2.4618745,-2.3700441,0.7281500,-3.4250540,-1.6823559,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,JJA,tasmax_mean,G6sulfur - SSP5-8.5,degC,-2.0361848,-1.9278279,0.7306547,-3.0238245,-1.2652590,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,MAM,pr_mean,G6solar - G6sulfur,mm/day,-0.0359236,-0.0219704,0.1674664,-0.2354386,0.1356850,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,MAM,pr_mean,G6solar - SSP5-8.5,mm/day,-0.0519167,-0.0126273,0.2713343,-0.3859627,0.2035504,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,MAM,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0159931,0.0459046,0.3772824,-0.5216477,0.3658663,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,MAM,tasmax_mean,G6solar - G6sulfur,degC,-0.2624068,-0.2307669,0.4624464,-0.8076764,0.2195830,4,2,2,0,0.5000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,MAM,tasmax_mean,G6solar - SSP5-8.5,degC,-2.1103392,-2.1997597,0.4392514,-2.5142771,-1.5275602,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,MAM,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.8479324,-1.8981011,0.4919288,-2.3767014,-1.2188260,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,SON,pr_mean,G6solar - G6sulfur,mm/day,0.0851251,0.1019547,0.2434335,-0.2286666,0.3652578,4,3,1,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,SON,pr_mean,G6solar - SSP5-8.5,mm/day,-0.2135056,-0.2355843,0.2025647,-0.4282986,0.0454447,4,1,3,0,0.7500000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,SON,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.2986308,-0.2961496,0.2629597,-0.5340169,-0.0682071,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,SON,tasmax_mean,G6solar - G6sulfur,degC,-0.4225550,-0.4445400,0.1849527,-0.6218925,-0.1792475,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,SON,tasmax_mean,G6solar - SSP5-8.5,degC,-2.1928598,-1.9928775,0.7507360,-3.2663713,-1.5193130,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
lower_mississippi,SON,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.7703048,-1.4869772,0.6913481,-2.7849403,-1.3223246,4,0,4,0,1.0000000,489638.1034720,25,46,13.6281137,24.1814243
original_box,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0485374,0.0476351,0.0354018,0.0078412,0.0910382,4,4,0,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,-0.0065495,-0.0123420,0.0435889,-0.0531098,0.0515959,4,1,3,0,0.7500000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0550869,-0.0576267,0.0364295,-0.0968947,-0.0081995,4,0,4,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.3579963,-0.2788881,0.3341900,-0.8101714,-0.0640376,4,0,4,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
